,model_combo,r_score,r_squared,mean_squared
0,5%_combined,0.931095516567191,0.8669388609715243,45.8
1,5%_mix_up,0.877211451901699,0.7694999313474868,55.2
2,5%_mix_no,0.9036283155706177,0.8165441327009919,59.9
3,5%_log_rand,0.9698545988312451,0.9406179428741155,76.3076923076923
4,5%_nn_rand,0.9276327128069074,0.8605024498695023,88.4
5,5%_mix_rand,0.8501616068399429,0.7227747577446737,104.45454545454545
6,5%_nn_no,0.9347311488095078,0.8737223205547422,120.21428571428571
7,5%_log_no,0.7876524299169042,0.6203963503540036,150.53846153846155
8,5%_knn_rand,0.6167425941083413,0.38037142738748625,170.9090909090909
9,5%_rf_rand,0.7157551041232496,0.5123053690784839,190.25
10,5%_log_up,0.8456688761509719,0.7151558480904477,205.33333333333334
11,5%_knn_no,0.5368810501858874,0.2882412620487013,221.33333333333334
12,5%_mlp_no,0.8021432653104896,0.6434338180829745,268.22222222222223
13,5%_knn_up,0.7132073736436015,0.5086647578196039,280.53846153846155
14,5%_rf_up,-0.42398039615933675,0.17975937632742814,316.1666666666667
15,5%_nn_up,0.7556393619140727,0.5709908452739069,360.8333333333333
16,5%_mlp_rand,0.8252104775720113,0.680972332294627,361.3157894736842
17,5%_rf_no,-0.568805300404407,0.32353946976814774,399.85714285714283
18,5%_mlp_up,0.6236695479751373,0.38896370507151207,509.5263157894737
