,model_combo,r_score,r_squared,mean_squared
0,10%_combined,0.9962432940146085,0.9925007008690777,12.6
1,10%_mix_no,0.9436660368850527,0.8905055891703416,41.5
2,10%_nn_rand,0.9807293652611695,0.9618300878855764,60.5
3,10%_mix_up,0.8946543252351039,0.8004063616618791,65.5
4,10%_mix_rand,0.9368247390972266,0.8776405917845868,75.5
5,10%_nn_no,0.9633201069054621,0.927985628368351,96.0
6,10%_rf_rand,0.8248750500333608,0.6804188481675395,102.25
7,10%_log_rand,0.9601596303892223,0.9219065158291679,127.75
8,10%_log_no,0.894162115591017,0.7995258889582032,139.125
9,10%_knn_no,0.8621512661901536,0.7433048057932851,170.16666666666666
10,10%_knn_rand,0.8498495922730499,0.7222443294866692,180.33333333333334
11,10%_rf_no,-0.4740454631399772,0.22471910112359547,217.5
12,10%_mlp_no,0.8699475121092818,0.756808673825129,250.88888888888889
13,10%_mlp_rand,0.9164702679905125,0.8399177521106017,270.1
14,10%_log_up,0.8349577663239713,0.6971544715447155,271.25
15,10%_knn_up,0.7355284361898103,0.5410020804438279,377.14285714285717
16,10%_nn_up,0.7942422311672299,0.6308207217694994,388.0
17,10%_rf_up,-0.6162360225133208,0.379746835443038,514.5
18,10%_mlp_up,0.5691337721165536,0.32391325056361714,631.9
