,model_combo,r_score,r_squared,mean_squared
0,5%_nn_no,0.9964790615845893,0.9929705201765038,4.428571428571429
1,5%_mix_up,0.9768327972710248,0.9542023138243351,7.857142857142857
2,5%_rf_up,0.9442673704375605,0.8916408668730651,14.0
3,5%_knn_no,0.9432856117286816,0.8897877452943531,17.166666666666668
4,5%_mix_rand,0.9649998355170902,0.9312246825480112,17.875
5,5%_combined,0.981373587997287,0.9630941192186688,25.142857142857142
6,5%_mix_no,0.7893466435840689,0.6230681237374351,29.333333333333332
7,5%_nn_rand,0.9003050274457479,0.8105491424440889,44.0
8,5%_rf_rand,0.50699591484446,0.257044857668971,49.0
9,5%_rf_no,,,50.0
10,5%_log_no,0.6635879686818897,0.4403489921793567,60.57142857142857
11,5%_log_up,0.8743367144523545,0.764464690239338,78.44444444444444
12,5%_knn_rand,0.6435545779712059,0.4141624948276969,81.42857142857143
13,5%_log_rand,0.741110018802676,0.5492440599697028,142.8
14,5%_mlp_no,0.3966021013501623,0.1572932267953644,170.375
15,5%_knn_up,0.780625184351436,0.6093756784437134,212.63636363636363
16,5%_mlp_up,0.3327463704744607,0.11072014706392705,280.5
17,5%_nn_up,0.5947364270050209,0.3537114176066986,289.75
18,5%_mlp_rand,0.6984850329910566,0.48788134131251737,294.1666666666667
