,model_combo,r_score,r_squared,mean_squared
0,10%_mix_up,0.9938586931957764,0.9877551020408163,3.0
1,10%_combined,0.9482352775778065,0.8991501416430596,19.25
2,10%_mix_rand,0.9074852129730301,0.8235294117647057,57.0
3,10%_log_rand,0.9733285267845752,0.9473684210526314,62.4
4,10%_knn_rand,0.9400959904164352,0.8837804711970583,63.333333333333336
5,10%_rf_up,,,70.66666666666667
6,10%_mix_no,0.6615185844757784,0.43760683760683755,94.5
7,10%_log_up,0.8246437494050604,0.680037313432836,126.4
8,10%_knn_up,0.8007524195411156,0.6412044374009509,152.16666666666666
9,10%_rf_rand,-0.7777137710478189,0.6048387096774193,163.66666666666666
10,10%_log_no,0.8407177188108461,0.7068062827225129,163.83333333333334
11,10%_nn_rand,0.7450999349372392,0.5551739130434782,222.42857142857142
12,10%_nn_no,0.8379912286910033,0.7022292993630573,237.71428571428572
13,10%_rf_no,-0.8865926413116156,0.7860465116279072,269.25
14,10%_knn_no,0.7715410491679501,0.5952755905511812,286.6666666666667
15,10%_nn_up,0.14519636875336583,0.02108198549916339,323.8333333333333
16,10%_mlp_no,0.5020048782760472,0.252008897812949,490.375
17,10%_mlp_rand,0.773865572647021,0.5988679245283018,614.8888888888889
18,10%_mlp_up,0.7484551991837489,0.5601851851851852,832.2222222222222
