,model_combo,r_score,r_squared,mean_squared
0,5%_combined,0.8774435961418938,0.7699072644104189,25.0
1,5%_mix_up,0.7723121414860729,0.5964660438868038,43.285714285714285
2,5%_mix_rand,0.8599615009455088,0.7395337831084524,45.22222222222222
3,5%_log_rand,0.9028813119357018,0.815194663442734,64.3
4,5%_rf_up,0.36608871966889694,0.1340209506688122,66.0
5,5%_knn_rand,0.7070535092930347,0.49992466500359545,86.0
6,5%_log_up,0.6164456479761625,0.3800052369087509,94.5
7,5%_nn_rand,0.817184924183711,0.6677912003131375,102.08333333333333
8,5%_log_no,0.648532858897074,0.4205948690692121,126.8
9,5%_rf_rand,0.05053358262704071,0.002553642973123951,129.16666666666666
10,5%_nn_no,0.7383578636459738,0.5451723348078464,131.9090909090909
11,5%_mix_no,0.47152581244377995,0.22233659180076673,143.25
12,5%_knn_up,0.6527906358411699,0.4261356142419189,146.0909090909091
13,5%_rf_no,-0.818954538815644,0.670686536646744,241.0
14,5%_knn_no,0.23730479887730474,0.05631356757019805,261.3
15,5%_nn_up,0.14593815277430705,0.021297944435176984,361.25
16,5%_mlp_no,0.12929521279287057,0.01671725205115368,414.15384615384613
17,5%_mlp_rand,0.5589763635718613,0.3124545750320217,488.6666666666667
18,5%_mlp_up,0.31785559334046914,0.10103217821782169,535.0666666666667
