,model_combo,r_score,r_squared,mean_squared
0,10%_knn_no,0.9999999999999999,0.9999999999999998,10.0
1,10%_mix_up,0.9607689228305227,0.9230769230769229,14.666666666666666
2,10%_nn_no,0.8985125712889782,0.8073248407643312,15.333333333333334
3,10%_log_no,0.9997334399526148,0.9994669509594883,15.333333333333334
4,10%_rf_no,0.9999999999999999,0.9999999999999998,22.5
5,10%_combined,0.9634667878413581,0.9282682512733446,23.0
6,10%_log_up,0.9310724776983954,0.866895958727429,27.75
7,10%_mlp_no,0.9819805060619657,0.9642857142857143,29.666666666666668
8,10%_rf_up,0.924473451641905,0.8546511627906976,48.333333333333336
9,10%_nn_rand,0.9778024140774095,0.9560975609756098,62.0
10,10%_mix_rand,0.9483040522636019,0.8992805755395683,65.0
11,10%_knn_rand,0.8660254037844386,0.7499999999999999,67.33333333333333
12,10%_log_rand,0.9934089358711311,0.9868613138686131,71.5
13,10%_rf_rand,0.32732683535398854,0.10714285714285712,81.33333333333333
14,10%_mix_no,0.05961964751378735,0.00355450236966825,114.0
15,10%_knn_up,0.9811557810392122,0.9626666666666664,121.0
16,10%_mlp_up,0.6134688957245554,0.3763440860215055,123.75
17,10%_nn_up,0.38684156086277705,0.14964639321074963,144.75
18,10%_mlp_rand,0.5512459105263765,0.3038720538720539,311.6
