,model_combo,r_score,r_squared,mean_squared
0,10%_log_up,0.98588656464073,0.9719723183391002,8.5
1,10%_mix_up,0.9871839871737307,0.9745322245322244,8.666666666666666
2,10%_combined,0.9819805060619656,0.9642857142857141,9.0
3,10%_knn_rand,0.9707253433941508,0.9423076923076921,13.666666666666666
4,10%_log_rand,0.9904953715596461,0.9810810810810813,16.5
5,10%_mix_rand,0.9819805060619656,0.9642857142857141,19.666666666666668
6,10%_log_no,0.9280401124617478,0.8612584503380135,20.75
7,10%_mix_no,0.981214703563706,0.9627822944896114,22.25
8,10%_knn_up,0.9332565252573828,0.870967741935484,35.333333333333336
9,10%_knn_no,0.9718941883008726,0.944578313253012,35.5
10,10%_rf_rand,0.5,0.25,50.0
11,10%_rf_up,0.8985125712889782,0.8073248407643312,59.333333333333336
12,10%_nn_rand,0.6974287966573551,0.4864069264069264,67.75
13,10%_mlp_rand,0.8601060779881873,0.7397824653922217,71.0
14,10%_rf_no,0.9999999999999999,0.9999999999999998,80.0
15,10%_nn_up,0.9073427185522183,0.8232708089097299,87.6
16,10%_nn_no,0.8624430703157188,0.7438080495356039,89.0
17,10%_mlp_up,0.5572802704674636,0.3105612998522894,550.1428571428571
18,10%_mlp_no,-0.02288476654907843,0.000523712540005819,661.3333333333334
