,model_combo,r_score,r_squared,mean_squared
0,10%_rf_no,0.944911182523068,0.8928571428571428,9.666666666666666
1,10%_mix_rand,0.9865922234654152,0.9733642154024318,24.6
2,10%_mix_no,0.9753927016341528,0.9513909224011714,26.75
3,10%_combined,0.9395923517493852,0.8828337874659403,29.6
4,10%_log_no,0.8616573774389995,0.7424534360950544,52.6
5,10%_nn_rand,0.9374501595905945,0.8788128017164312,53.666666666666664
6,10%_log_rand,0.873652809054736,0.7632692307692309,56.0
7,10%_nn_no,0.8355417457582353,0.6981300089047194,66.2
8,10%_rf_up,0.8660254037844387,0.7500000000000001,73.66666666666667
9,10%_knn_no,0.7577754301140094,0.5742236024844719,92.4
10,10%_mix_up,0.7349762900473185,0.54019014693172,94.0
11,10%_rf_rand,-0.9966158955401239,0.9932432432432431,161.66666666666666
12,10%_mlp_no,0.8707645343701935,0.7582308743169399,166.85714285714286
13,10%_knn_rand,0.8987569054840576,0.8077639751552793,216.33333333333334
14,10%_log_up,0.6933346026898763,0.4807128712871287,230.16666666666666
15,10%_knn_up,0.8028965419920907,0.6446428571428571,397.57142857142856
16,10%_mlp_rand,0.9152594959041953,0.8376999448428017,477.25
17,10%_nn_up,0.643119694284408,0.41360294117647034,509.57142857142856
18,10%_mlp_up,0.6091126446833812,0.371018213913183,1218.6
