,model_combo,r_score,r_squared,mean_squared
0,10%_combined,0.9811557810392124,0.9626666666666669,9.0
1,10%_log_up,0.97547213064217,0.9515458776595748,18.4
2,10%_mix_no,0.9782838736655737,0.9570393374741201,20.8
3,10%_knn_up,0.9453623032823266,0.8937098844672657,26.25
4,10%_mix_rand,0.9352167309002812,0.874630333755809,28.6
5,10%_log_rand,0.9549653699714156,0.9119588578446426,32.4
6,10%_log_no,0.9515607240427095,0.9054678115406856,39.833333333333336
7,10%_rf_no,1.0,1.0,51.666666666666664
8,10%_mix_up,0.9422979508297104,0.8879254281378712,62.8
9,10%_knn_rand,0.8944271909999157,0.7999999999999997,67.5
10,10%_rf_rand,0.703452458112659,0.4948453608247423,79.33333333333333
11,10%_rf_up,-0.9819805060619656,0.9642857142857141,124.0
12,10%_nn_rand,0.7449664717800274,0.5549750440763823,163.83333333333334
13,10%_nn_up,0.7757786860713556,0.6018325697625989,171.66666666666666
14,10%_knn_no,0.45286283327594007,0.20508474576271188,195.2
15,10%_nn_no,0.8197809416337848,0.6720407922659749,233.28571428571428
16,10%_mlp_rand,0.8058384455858667,0.6493756003842458,285.0
17,10%_mlp_up,0.772228320664743,0.5963365792366891,609.1111111111111
18,10%_mlp_no,0.7256400042015837,0.5265534156976744,876.1111111111111
