,model_combo,r_score,r_squared,mean_squared
0,5%_combined,0.9161894921869044,0.8394031855936978,36.44444444444444
1,5%_mix_up,0.8840547561657726,0.7815528118993236,46.3
2,5%_log_rand,0.9663870183482477,0.9339038692320164,56.0
3,5%_nn_rand,0.9460496226548423,0.8950098885253694,73.92307692307692
4,5%_mix_rand,0.8888243916466713,0.7900087991860753,80.81818181818181
5,5%_mix_no,0.85527147867651,0.7314893022375039,90.3
6,5%_rf_rand,0.794712434445853,0.6315678534628543,127.875
7,5%_nn_no,0.9098442331748428,0.8278165286415177,141.14285714285714
8,5%_log_no,0.775659003713166,0.6016468900413012,150.15384615384616
9,5%_knn_rand,0.6174248049768886,0.38121338980074887,163.72727272727272
10,5%_knn_no,0.5460963207994746,0.29822119159072263,218.25
11,5%_log_up,0.8378531658593412,0.7019979275405207,248.13333333333333
12,5%_mlp_no,0.8628922528628494,0.7445830400507237,255.47058823529412
13,5%_knn_up,0.7076058279918831,0.5007060078080785,272.0769230769231
14,5%_mlp_rand,0.8115330237876016,0.658585848697848,330.10526315789474
15,5%_rf_up,-0.5781439455164754,0.3342504217373573,335.5
16,5%_nn_up,0.7410196924392323,0.5491101845827344,366.22222222222223
17,5%_rf_no,-0.6396398935670486,0.4091391934424653,389.7142857142857
18,5%_mlp_up,0.5698516387719922,0.32473089021112506,528.8421052631579
