model_combo,red_win_r_squared,red_win_mse,blue_win_r_squared,blue_win_mse,red_dec_r_squared,red_dec_mse,red_ko_r_squared,red_ko_mse,red_sub_r_squared,red_sub_mse,blue_dec_r_squared,blue_dec_mse,blue_ko_r_squared,blue_ko_mse,blue_sub_r_squared,blue_sub_mse
10%_combined,0.9925007008690777,12.6,0.9811161217587372,18.6,0.8991501416430596,19.25,0.9626666666666669,9.0,0.9642857142857141,9.0,0.8828337874659403,29.6,0.9990446946434662,8.75,0.9282682512733446,23.0
10%_mix_no,0.8905055891703416,41.5,0.9438929650410011,39.0,0.43760683760683755,94.5,0.9570393374741201,20.8,0.9627822944896114,22.25,0.9513909224011714,26.75,0.8647763383035931,62.25,0.00355450236966825,114.0
10%_nn_rand,0.9618300878855764,60.5,0.9370582121508702,62.375,0.5551739130434782,222.42857142857142,0.5549750440763823,163.83333333333334,0.4864069264069264,67.75,0.8788128017164312,53.666666666666664,0.9562641225207129,57.333333333333336,0.9560975609756098,62.0
10%_mix_up,0.8004063616618791,65.5,0.7708169333144556,81.5,0.9877551020408163,3.0,0.8879254281378712,62.8,0.9745322245322244,8.666666666666666,0.54019014693172,94.0,0.999306759098787,2.25,0.9230769230769229,14.666666666666666
10%_mix_rand,0.8776405917845868,75.5,0.871701199563795,70.0,0.8235294117647057,57.0,0.874630333755809,28.6,0.9642857142857141,19.666666666666668,0.9733642154024318,24.6,0.9692307692307693,15.0,0.8992805755395683,65.0
10%_nn_no,0.927985628368351,96.0,0.9327595481441635,104.28571428571429,0.7022292993630573,237.71428571428572,0.6720407922659749,233.28571428571428,0.7438080495356039,89.0,0.6981300089047194,66.2,0.9908571428571431,7.5,0.8073248407643312,15.333333333333334
10%_rf_rand,0.6804188481675395,102.25,0.6818181818181819,105.0,0.6048387096774193,163.66666666666666,0.4948453608247423,79.33333333333333,0.25,50.0,0.9932432432432431,161.66666666666666,0.044776119402985086,106.0,0.10714285714285712,81.33333333333333
10%_log_rand,0.9219065158291679,127.75,0.9240543761440492,125.125,0.9473684210526314,62.4,0.9119588578446426,32.4,0.9810810810810813,16.5,0.7632692307692309,56.0,0.7550335570469798,93.8,0.9868613138686131,71.5
10%_log_no,0.7995258889582032,139.125,0.7839965844552998,142.5,0.7068062827225129,163.83333333333334,0.9054678115406856,39.833333333333336,0.8612584503380135,20.75,0.7424534360950544,52.6,0.5862955032119915,69.25,0.9994669509594883,15.333333333333334
10%_knn_no,0.7433048057932851,170.16666666666666,0.7953549517966695,151.66666666666666,0.5952755905511812,286.6666666666667,0.20508474576271188,195.2,0.944578313253012,35.5,0.5742236024844719,92.4,0.2846975088967972,107.5,0.9999999999999998,10.0
10%_knn_rand,0.7222443294866692,180.33333333333334,0.6989508775370135,184.5,0.8837804711970583,63.333333333333336,0.7999999999999997,67.5,0.9423076923076921,13.666666666666666,0.8077639751552793,216.33333333333334,0.7920792079207922,70.5,0.7499999999999999,67.33333333333333
10%_rf_no,0.22471910112359547,217.5,0.16000000000000003,136.5,0.7860465116279072,269.25,1.0,51.666666666666664,0.9999999999999998,80.0,0.8928571428571428,9.666666666666666,,41.0,0.9999999999999998,22.5
10%_mlp_no,0.756808673825129,250.88888888888889,0.7300084889643461,254.0,0.252008897812949,490.375,0.5265534156976744,876.1111111111111,0.000523712540005819,661.3333333333334,0.7582308743169399,166.85714285714286,0.37876802096985585,182.8,0.9642857142857143,29.666666666666668
10%_mlp_rand,0.8399177521106017,270.1,0.879873210653191,322.5,0.5988679245283018,614.8888888888889,0.6493756003842458,285.0,0.7397824653922217,71.0,0.8376999448428017,477.25,0.32760032760032753,483.42857142857144,0.3038720538720539,311.6
10%_log_up,0.6971544715447155,271.25,0.8258119757915425,223.0,0.680037313432836,126.4,0.9515458776595748,18.4,0.9719723183391002,8.5,0.4807128712871287,230.16666666666666,0.49266962154790317,341.1666666666667,0.866895958727429,27.75
10%_knn_up,0.5410020804438279,377.14285714285717,0.5425069541029205,380.42857142857144,0.6412044374009509,152.16666666666666,0.8937098844672657,26.25,0.870967741935484,35.333333333333336,0.6446428571428571,397.57142857142856,0.9102987830863202,194.5,0.9626666666666664,121.0
10%_nn_up,0.6308207217694994,388.0,0.7790708435974535,375.9,0.02108198549916339,323.8333333333333,0.6018325697625989,171.66666666666666,0.8232708089097299,87.6,0.41360294117647034,509.57142857142856,0.5296250646097569,239.83333333333334,0.14964639321074963,144.75
10%_rf_up,0.379746835443038,514.5,0.1656957928802589,372.5,,70.66666666666667,0.9642857142857141,124.0,0.8073248407643312,59.333333333333336,0.7500000000000001,73.66666666666667,0.836872586872587,29.666666666666668,0.8546511627906976,48.333333333333336
10%_mlp_up,0.32391325056361714,631.9,0.4738548273431994,590.8,0.5601851851851852,832.2222222222222,0.5963365792366891,609.1111111111111,0.3105612998522894,550.1428571428571,0.371018213913183,1218.6,0.014095536413469072,805.2857142857143,0.3763440860215055,123.75
