model_combo,r_score,r_squared,mean_squared
10%_combined,0.9750886614172866,0.9512332598257508,16.225
10%_mix_up,0.9239194118829763,0.8605012348493346,41.547916666666666
10%_mix_rand,0.9518185060454045,0.9067078514159225,44.420833333333334
10%_mix_no,0.8126463251427699,0.7514435983570431,52.63125
10%_log_rand,0.9470268480149667,0.8989416692045495,73.184375
10%_log_no,0.8908758325050722,0.7981588635351562,80.403125
10%_nn_rand,0.8786727994309654,0.7858273335969984,93.7358630952381
10%_rf_no,0.42632472543878214,0.7233746793726635,103.51041666666667
10%_rf_rand,0.14943047699990708,0.48213541503462104,106.15625
10%_nn_no,0.8973503142971236,0.8093919137754181,106.16488095238095
10%_knn_rand,0.8932376957726479,0.7996408192005631,107.9375
10%_knn_no,0.7802027556798015,0.642814939817266,131.1375
10%_log_up,0.8570016934989634,0.7458500510412788,155.82916666666665
10%_rf_up,0.22836354590561164,0.6797967047195181,161.58333333333334
10%_knn_up,0.8611998143282664,0.7508749256557866,210.54910714285714
10%_nn_up,0.6578655743792963,0.49361891606692776,280.14434523809524
10%_mlp_rand,0.7916456435319654,0.6471236599229682,354.47093253968256
10%_mlp_no,0.6746624166119412,0.5458984748015768,364.00401785714286
10%_mlp_up,0.5549157024054623,0.37828862231614224,670.2264880952381
